STUDENT PRJ_ID CHOICE
1 9265 3
2 9426 2
3 10767 1
4 10046 5
5 9406 4
6 10000 1
7 10062 2
8 9105 5
9 9265 5
10 10471 4
11 10044 1
12 10147 2
13 9911 4
14 9265 4
15 10187 4
16 9968 5
17 9613 4
18 8825 3
19 10012 2
20 9248 4
21 10667 1
22 10247 3
23 10017 5
24 9405 4
25 10030 4
26 9265 5
27 10088 4
28 10025 3
29 10347 1
30 10248 4
31 9426 4
32 9992 1
33 9407 5
34 9245 3
35 9667 5
36 10025 4
37 9245 3
38 9246 2
39 9624 3
40 9245 3
41 9667 1
42 9999 3
43 10807 1
44 9246 5
45 9667 2
46 9206 3
47 9007 4
48 10064 1
49 9545 1
50 9265 1
51 10567 4
52 10271 3
53 10547 3
54 9667 4
55 10472 2
56 9993 2
57 9206 3
58 9205 5
59 10248 5
60 9992 1
61 10249 4
62 9887 3
63 10347 1
64 10347 1
65 9827 5
66 10687 1
67 9426 1
68 9265 3
69 9245 3
70 9245 4
71 10527 5
72 9426 3
73 9976 2
74 10347 1
75 10064 2
76 9927 4
77 10046 1
78 9887 1
79 9246 4
80 10010 1
81 9999 1
82 8985 3
83 8885 4
84 10030 3
85 10039 2
86 10527 5
87 9306 5
88 10347 1
89 10039 5
90 9426 5
91 9246 5
92 9787 3
93 9627 2
94 10367 1
95 8825 1
96 9206 2
97 9246 1
98 9887 2
99 10022 5
100 10467 3
101 9976 5
102 9245 5
103 10107 5
104 9689 2
105 10347 1
106 10000 2
107 9627 1
108 10107 4
109 9007 2
110 10000 4
111 9608 5
112 9446 2
113 10127 2
114 10002 3
115 9967 5
116 9246 3
117 9911 3
118 10025 5
119 10567 2
120 9984 3
121 10013 4
122 9206 2
123 9976 5
124 10170 5
125 8885 1
126 10030 5
127 10187 2
128 9246 1
129 9545 2
130 9206 1
131 10052 4
132 9968 2
133 10187 5
134 10248 3
135 9827 3
136 9245 3
137 10012 4
138 10729 3
139 9976 1
140 10039 5
141 10248 2
142 9246 1
143 8885 2
144 9485 4
145 9168 4
146 9976 1
147 10127 1
148 9613 1
149 9647 5
150 10347 1
151 9545 3
152 9565 3
153 10508 4
154 10787 1
155 9616 3
156 9787 5
157 10187 3
