1 Fitness= 52890 Best= 48670
10001 Fitness= 49780 Best= 32110
20001 Fitness= 51860 Best= 32110
30001 Fitness= 45640 Best= 32110
40001 Fitness= 51820 Best= 31770
50001 Fitness= 39120 Best= 31430
60001 Fitness= 46900 Best= 31430
70001 Fitness= 54090 Best= 31430
80001 Fitness= 48960 Best= 30920
90001 Fitness= 51870 Best= 30920
100000 Fitness= 52070 Best= 30920


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10012	2	1
9206	5	1
8885	3	1
10025	3	1
10030	3	2
10039	3	2
9968	2	1
9245	7	2
9246	8	2
9976	5	1
10248	4	1
9265	6	4
9992	2	1
9613	2	1
8825	2	1
9627	2	1
10527	2	1
9545	3	1
10187	4	1
9827	2	1
9911	2	1
10000	3	1
9667	4	2
10567	2	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	3	9265	6	4
2	2	9426	5	5
3	1	10767	1	1
4	5	10046	2	4
5	4	9406	1	1
6	1	10000	3	1
7	2	10062	1	1
8	5	9105	1	1
9	5	9265	6	4
10	4	10471	1	1
11	1	10044	1	1
12	2	10147	1	2
13	4	9911	2	1
14	4	9265	6	4
15	4	10187	4	1
16	5	9968	2	1
17	4	9613	2	1
18	3	8825	2	1
19	2	10012	2	1
20	4	9248	1	1
21	1	10667	1	1
22	3	10247	1	1
23	5	10017	1	1
24	4	9405	1	1
25	4	10030	3	2
26	5	9265	6	4
27	4	10088	1	4
28	3	10025	3	1
29	1	10347	7	7
30	4	10248	4	1
31	4	9426	5	5
32	1	9992	2	1
33	5	9407	1	1
34	3	9245	7	2
35	5	9667	4	2
36	4	10025	3	1
37	3	9245	7	2
38	2	9246	8	2
39	3	9624	1	2
40	3	9245	7	2
41	1	9667	4	2
42	3	9999	2	4
43	1	10807	1	1
44	5	9246	8	2
45	2	9667	4	2
46	3	9206	5	1
47	4	9007	2	3
48	1	10064	2	2
49	1	9545	3	1
50	1	9265	6	4
51	4	10567	2	1
52	3	10271	1	4
53	3	10547	1	1
54	4	9667	4	2
55	2	10472	1	4
56	2	9993	1	1
57	3	9206	5	1
58	5	9205	1	1
59	5	10248	4	1
60	1	9992	2	1
61	4	10249	1	1
62	3	9887	3	3
63	1	10347	7	7
64	1	10347	7	7
65	5	9827	2	1
66	1	10687	1	2
67	1	9426	5	5
68	3	9265	6	4
69	3	9245	7	2
70	4	9245	7	2
71	5	10527	2	1
72	3	9426	5	5
73	2	9976	5	1
74	1	10347	7	7
75	2	10064	2	2
76	4	9927	1	1
77	1	10046	2	4
78	1	9887	3	3
79	4	9246	8	2
80	1	10010	1	1
81	1	9999	2	4
82	3	8985	1	1
83	4	8885	3	1
84	3	10030	3	2
85	2	10039	3	2
86	5	10527	2	1
87	5	9306	1	1
88	1	10347	7	7
89	5	10039	3	2
90	5	9426	5	5
91	5	9246	8	2
92	3	9787	2	2
93	2	9627	2	1
94	1	10367	1	1
95	1	8825	2	1
96	2	9206	5	1
97	1	9246	8	2
98	2	9887	3	3
99	5	10022	1	2
100	3	10467	1	1
101	5	9976	5	1
102	5	9245	7	2
103	5	10107	2	4
104	2	9689	1	1
105	1	10347	7	7
106	2	10000	3	1
107	1	9627	2	1
108	4	10107	2	4
109	2	9007	2	3
110	4	10000	3	1
111	5	9608	1	1
112	2	9446	1	1
113	2	10127	2	4
114	3	10002	1	1
115	5	9967	1	1
116	3	9246	8	2
117	3	9911	2	1
118	5	10025	3	1
119	2	10567	2	1
120	3	9984	1	1
121	4	10013	1	1
122	2	9206	5	1
123	5	9976	5	1
124	5	10170	1	1
125	1	8885	3	1
126	5	10030	3	2
127	2	10187	4	1
128	1	9246	8	2
129	2	9545	3	1
130	1	9206	5	1
131	4	10052	1	2
132	2	9968	2	1
133	5	10187	4	1
134	3	10248	4	1
135	3	9827	2	1
136	3	9245	7	2
137	4	10012	2	1
138	3	10729	1	1
139	1	9976	5	1
140	5	10039	3	2
141	2	10248	4	1
142	1	9246	8	2
143	2	8885	3	1
144	4	9485	1	2
145	4	9168	1	1
146	1	9976	5	1
147	1	10127	2	4
148	1	9613	2	1
149	5	9647	1	1
150	1	10347	7	7
151	3	9545	3	1
152	3	9565	1	1
153	4	10508	1	2
154	1	10787	1	1
155	3	9616	1	1
156	5	9787	2	2
157	3	10187	4	1
Summary details:
#violations= 49
fitness= 52070
37 students got their choice 1 project
26 students got their choice 2 project
33 students got their choice 3 project
29 students got their choice 4 project
32 students got their choice 5 project
