1 Fitness= 45840 Best= 43050
10001 Fitness= 47710 Best= 30660
20001 Fitness= 48760 Best= 30660
30001 Fitness= 49840 Best= 30660
40001 Fitness= 49660 Best= 30660
50001 Fitness= 52760 Best= 30120
60001 Fitness= 47980 Best= 30120
70001 Fitness= 45680 Best= 30120
80001 Fitness= 44130 Best= 30120
90001 Fitness= 50670 Best= 30120
100000 Fitness= 47010 Best= 30120


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10025	2	1
9688	2	1
9689	3	1
9306	2	1
9789	2	1
9968	5	1
9245	4	2
9976	5	1
10328	2	1
9982	4	2
9989	3	1
10249	2	1
9993	2	1
9996	2	1
10607	2	1
9624	3	2
10527	2	1
9545	2	1
10187	3	1
9389	2	1
10547	2	1
9827	5	1
9912	6	1
10002	2	1
9667	4	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	4	9619	1	1
2	5	9968	5	1
3	1	10767	1	1
4	4	9807	1	1
5	1	9996	2	1
6	5	9789	2	1
7	3	9989	3	1
8	2	9911	1	1
9	1	10607	2	1
10	1	10088	1	4
11	3	10207	1	1
12	1	9996	2	1
13	1	10607	2	1
14	2	9689	3	1
15	1	10253	1	1
16	5	9968	5	1
17	1	10022	2	2
18	2	10328	2	1
19	1	9999	4	4
20	3	9105	1	1
21	1	10667	1	1
22	1	9528	1	1
23	1	9007	2	3
24	5	10248	1	1
25	2	9265	3	4
26	4	9982	4	2
27	5	9989	3	1
28	5	10527	2	1
29	1	10347	7	7
30	5	10187	3	1
31	1	9993	2	1
32	4	9426	5	5
33	4	10271	1	4
34	1	9827	5	1
35	3	9688	2	1
36	4	10025	2	1
37	5	9968	5	1
38	5	10001	2	3
39	4	10048	1	1
40	5	10015	1	1
41	1	9667	4	2
42	3	9999	4	4
43	1	10807	1	1
44	2	9827	5	1
45	5	9265	3	4
46	1	9667	4	2
47	1	9226	1	2
48	5	10427	2	2
49	2	9208	1	1
50	2	9887	3	3
51	2	9545	2	1
52	5	9489	1	2
53	3	10547	2	1
54	3	9982	4	2
55	5	10527	2	1
56	4	9426	5	5
57	1	10259	1	2
58	5	9205	1	1
59	3	10011	1	1
60	2	9993	2	1
61	4	10249	2	1
62	3	9887	3	3
63	1	10347	7	7
64	1	10347	7	7
65	4	9624	3	2
66	4	9389	2	1
67	1	9426	5	5
68	3	9265	3	4
69	4	9976	5	1
70	1	9624	3	2
71	3	9246	2	2
72	4	10187	3	1
73	3	9624	3	2
74	1	10347	7	7
75	5	10012	1	1
76	2	9947	1	1
